개정일시,교과,학교급,교육과정,과목,영역,지식이해,성취기준,학습요소,유의사항,평가방법 및 유의사항
2015개정,수학,중학교,공통 과목,수학,기하,평면도형의 성질,"[9수04-06]부채꼴의 중심각과 호의 관계를 이해하고, 이를 이용하여 부채꼴의 넓이와 호의 길이를 구할 수 있다.",,,
2015개정,수학,중학교,공통 과목,수학,기하,입체도형의 성질,[9수04-07]다면체의 성질을 이해한다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,입체도형의 성질,[9수04-08]회전체의 성질을 이해한다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,입체도형의 성질,[9수04-09]입체도형의 겉넓이와 부피를 구할 수 있다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,삼각형과 사각형의 성질,[9수04-10]이등변삼각형의 성질을 이해하고 설명할 수 있다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,삼각형과 사각형의 성질,[9수04-11]삼각형의 외심과 내심의 성질을 이해하고 설명할 수 있다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,삼각형과 사각형의 성질,[9수04-12]사각형의 성질을 이해하고 설명할 수 있다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,도형의 닮음,[9수04-13]도형의 닮음의 의미와 닮은 도형의 성질을 이해한다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,도형의 닮음,"[9수04-14]삼각형의 닮음 조건을 이해하고, 이를 이용하여 두 삼각형이 닮음인지 판별할 수 있다.",,,
2015개정,수학,중학교,공통 과목,수학,기하,도형의 닮음,[9수04-15]평행선 사이의 선분의 길이의 비를 구할 수 있다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,피타고라스 정리,[9수04-16]피타고라스 정리를 이해하고 설명할 수 있다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,삼각비,"[9수04-17]삼각비의 뜻을 알고, 간단한 삼각비의 값을 구할 수 있다.",,,
2015개정,수학,중학교,공통 과목,수학,기하,삼각비,[9수04-18]삼각비를 활용하여 여러 가지 문제를 해결할 수 있다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,원의 성질,[9수04-19]원의 현에 관한 성질과 접선에 관한 성질을 이해한다.,,,
2015개정,수학,중학교,공통 과목,수학,기하,원의 성질,[9수04-20]원주각의 성질을 이해한다.,,,
2015개정,수학,중학교,공통 과목,수학,확률과 통계,자료의 정리와 해석,"[9수05-01]자료를 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타내고 해석할 수 있다.",,,
2015개정,수학,중학교,공통 과목,수학,확률과 통계,자료의 정리와 해석,"[9수05-02]상대도수를 구하며, 이를 그래프로 나타내고, 상대도수의 분포를 이해한다.",,,
2015개정,수학,중학교,공통 과목,수학,확률과 통계,자료의 정리와 해석,[9수05-03]공학적 도구를 이용하여 실생활과 관련된 자료를 수집하고 표나 그래프로 정리하고 해석할 수 있다.,,,
2015개정,수학,중학교,공통 과목,수학,확률과 통계,확률과 그 기본 성질,[9수05-04]경우의 수를 구할 수 있다.,,,
2015개정,수학,중학교,공통 과목,수학,확률과 통계,확률과 그 기본 성질,"[9수05-05]확률의 개념과 그 기본 성질을 이해하고, 확률을 구할 수 있다.",,,
2015개정,수학,중학교,공통 과목,수학,확률과 통계,대푯값과 산포도,"[9수05-06]중앙값, 최빈값, 평균의 의미를 이해하고, 이를 구할 수 있다.",,,
2015개정,수학,중학교,공통 과목,수학,확률과 통계,대푯값과 산포도,"[9수05-07]분산과 표준편차의 의미를 이해하고, 이를 구할 수 있다.",,,
2015개정,수학,중학교,공통 과목,수학,확률과 통계,상관관계,"[9수05-08]자료를 산점도로 나타내고, 이를 이용하여 상관관계를 말할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,자료의 정리,"[2수04-01] 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준에 따른 결과를 말할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,자료의 정리,"[2수04-02] 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,자료의 정리,"[2수04-03] 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편리한 점을 말할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,자료의 수집과 정리,[4수04-01] 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,자료의 수집과 정리,[4수04-02] 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,자료의 수집과 정리,"[4수04-03] 탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다.","[4수04-03] 여러 가지 문제를 해결하기 위해 자료를 수집, 정리하고 그래프로 나타내어 해석하는 일련의 과정을 직접 경험하게 한다. 자료의 크기를 비교할 때는 막대그래프로, 시간에 따른 변화의 경향을 알아볼 때는 꺾은선그래프로 나타내는 것이 편리함을 알고, 자료의 특성에 따라 목적에 맞는 적절한 그래프를 선택하게 한다.",,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,자료의 수집과 정리,"[6수04-01] 평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다.","[6수04-01] 평균은 집단의 자료를 대표하는 값임을 이해하고, 여러 집단의 평균을 비교하는 활동을 통해 수학의 유용성을 인식하게 한다.",,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,자료의 수집과 정리,[6수04-02] 자료를 수집하여 띠그래프나 원그래프로 나타내고 해석할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,자료의 수집과 정리,"[6수04-03] 탐구 문제를 설정하고, 그에 맞는 자료를 수집, 정리하여 적절한 그래프로 나타내고 해석할 수 있다.","[6수04-03] 해결하고자 하는 문제를 설정하고 그에 맞는 자료를 수집, 정리하여, 막대그래프, 꺾은선그래프, 띠그래프와 원그래프 중 적절한 그래프로 나타내고 해석하는 일련의 과정을 직접 경험하게 한다.",,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,가능성,[6수04-04] 사건이 일어날 가능성을 말로 표현하고 비교할 수 있다.,"[6수04-04] ‘확실하다’, ‘불가능하다’, ‘∼일 것 같다’, ‘∼아닐 것 같다’, ‘반반이다’ 등 일상에서 사건이 일어날 가능성을 나타내는 다양한 표현을 이해하고, 가능성의 크기를 비교하게 한다.",,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,가능성,[6수04-05] 사건이 일어날 가능성을 수로 나타낼 수 있다.,"[6수04-05] 가능성이 직관적으로 파악되는 생활 속의 간단한 사건에 대하여 그 가능성을 0,   , 1 등과 같은 수로 표현하게 한다. 사건이 일어날 가능성과 일어나지 않을 가능성이 같은 경우에 사건이 일어날 가능성을   로 표현할 수 있음을 이해하게 한다.",,
2022개정,수학,초등학교,공통 과목,수학,자료와 가능성,가능성,"[6수04-06] 자료를 이용하여 가능성을 예상하고, 가능성에 근거하여 적절한 판단을 내릴 수 있다.","[6수04-06] 제비뽑기, 동전 던지기, 주사위 던지기, 회전판 돌리기 등과 같은 간단한 실험 결과를 나타낸 표나 그래프를 보고 사건이 일어날 가능성을 비교하고 대략적으로 예상하게 한다.",,
2022개정,수학,중학교,공통 과목,수학,자료와 가능성,대푯값,"[9수04-01] 중앙값, 최빈값의 뜻을 알고, 자료의 특성에 따라 적절한 대푯값을 선택하여 구할 수 있다.","[9수04-01] 대푯값에는 초등학교에서 학습한 평균 이외에도 중앙값, 최빈값이 있음을 알고 그 필요성을 인식하게 한다. 자료의 특성에 따라 적절한 대푯값을 선택하여 구해 보고, 각 대푯값이 어떤 상황에서 유용하게 사용될 수 있는지 토론하게 한다.",,
2022개정,수학,중학교,공통 과목,수학,자료와 가능성,도수분포표와 상대도수,"[9수04-02] 자료를 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타내고 해석할 수 있다.",,,
2022개정,수학,중학교,공통 과목,수학,자료와 가능성,도수분포표와 상대도수,"[9수04-03] 상대도수를 구하고, 상대도수의 분포를 표나 그래프로 나타내고 해석할 수 있다.","[9수04-03] 상대도수는 도수의 총합이 다른 두 집단의 분포를 비교하는 상황에서 간단히 다루고, 상대도수의 필요성과 유용성을 인식하게 한다.",,
2022개정,수학,중학교,공통 과목,수학,자료와 가능성,도수분포표와 상대도수,"[9수04-04] 통계적 탐구 문제를 설정하고, 공학 도구를 이용하여 자료를 수집하여 분석하고, 그 결과를 해석할 수 있다.","[9수04-04] 다양한 맥락에서 해결하고자 하는 통계적 탐구 문제를 설정하고 적절한 계획을 세워 자료를 수집하게 한다. 수집한 자료를 자료의 특성과 목적에 맞게 표, 그래프, 수치 등으로 나타내어 분석하고, 그 결과를 탐구 문제와 연결하여 해석하게 한다. 자료를 수집하고 분석할 때는 인터넷 검색, 웹 기반 소프트웨어, 통계 프로그램 등을 활용하게 한다. 수집한 자료나 분석 결과가 적절한지 판단하여 계획을 수정하고, 통계적 근거를 바탕으로 토론하는 등 통계적 문제해결 과정에 주도적으로 참여하게 한다.",,
2022개정,수학,중학교,공통 과목,수학,자료와 가능성,경우의 수와 확률,[9수04-05] 경우의 수를 구할 수 있다.,"[9수04-05] 경우의 수는 두 경우의 수를 합하거나 곱하는 경우 정도로만 다루고, 순열과 조합을 이용하면 쉽게 해결되는 등의 복잡한 경우의 수를 구하는 문제는 다루지 않는다.",,
2022개정,수학,중학교,공통 과목,수학,자료와 가능성,경우의 수와 확률,"[9수04-06] 확률의 개념과 그 기본 성질을 이해하고, 확률을 구할 수 있다.","[9수04-06] 확률은 실험이나 관찰을 통해 구한 상대도수로서의 의미와 경우의 수의 비율로서의 의미를 연결하여 이해하게 한다. 경우의 수의 비율로 확률을 다룰 때, 각 경우가 발생할 가능성이 동등하다는 것을 가정한다는 점에 유의하게 한다.",,
2022개정,수학,중학교,공통 과목,수학,자료와 가능성,산포도,[9수04-07] 분산과 표준편차를 구하고 자료의 분포를 설명할 수 있다.,,,
2022개정,수학,중학교,공통 과목,수학,자료와 가능성,상자그림과 산점도,[9수04-08] 공학 도구를 이용하여 자료를 상자그림으로 나타내고 분포를 비교할 수 있다.,"[9수04-08] 상자그림을 다룰 때는 두 집단의 분포를 비교하고 해석하는 활동에 중점을 두고, 이를 통해 상자그림의 유용성을 인식하게 한다.",,
2022개정,수학,중학교,공통 과목,수학,자료와 가능성,상자그림과 산점도,[9수04-09] 자료를 산점도로 나타내고 상관관계를 말할 수 있다.,"[9수04-09] 상관관계는 양의 상관관계, 음의 상관관계, 상관관계가 없는 경우로 구분하여 다룬다.",,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,네 자리 이하의 수,"[2수01-01] 수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,네 자리 이하의 수,"[2수01-02] 일, 십, 백, 천의 자릿값과 위치적 기수법을 이해하고, 네 자리 이하의 수를 읽고 쓸 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,네 자리 이하의 수,"[2수01-03] 네 자리 이하의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,네 자리 이하의 수,[2수01-04] 하나의 수를 두 수로 분해하고 두 수를 하나의 수로 합성하는 활동을 통하여 수 감각을 기른다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,두 자리 수 범위의 덧셈과 뺄셈,[2수01-05] 덧셈과 뺄셈이 이루어지는 실생활 상황과 연결하여 덧셈과 뺄셈의 의미를 이해한다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,두 자리 수 범위의 덧셈과 뺄셈,[2수01-06] 두 자리 수의 범위에서 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"[2수01-06] 덧셈은 두 자리 수의 범위에서 다루되, 합이 세 자리 수인 경우도 포함한다.",,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,두 자리 수 범위의 덧셈과 뺄셈,[2수01-07] 덧셈과 뺄셈의 관계를 이해한다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,두 자리 수 범위의 덧셈과 뺄셈,[2수01-08] 두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,두 자리 수 범위의 덧셈과 뺄셈,"[2수01-09] □가 사용된 덧셈식과 뺄셈식을 만들고, □의 값을 구할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,한 자리 수의 곱셈,[2수01-10] 곱셈이 이루어지는 실생활 상황과 연결하여 곱셈의 의미를 이해한다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,한 자리 수의 곱셈,"[2수01-11] 곱셈구구를 이해하고, 한 자리 수의 곱셈을 할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,다섯 자리 이상의 수,"[4수01-01] 큰 수의 필요성을 인식하면서 10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 이해하고, 수를 읽고 쓸 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,다섯 자리 이상의 수,"[4수01-02] 다섯 자리 이상의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교하며 그 방법을 설명할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,세 자리 수의 덧셈과 뺄셈,[4수01-03] 세 자리 수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"[4수01-03] 덧셈은 세 자리 수의 범위에서 다루되, 합이 네 자리 수인 경우도 포함한다.",,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,세 자리 수 범위의 곱셈,[4수01-04] 곱하는 수가 한 자리 수 또는 두 자리 수인 곱셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"[4수01-04] 곱셈은 ‘(두 자리 수)  (한 자리 수)’, ‘(세 자리 수)  (한 자리 수)’, ‘(두 자리 수)  (두 자리 수)’, ‘(세 자리 수)  (두 자리 수)’를 다룬다.",,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,세 자리 수 범위의 나눗셈,"[4수01-05] 나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 알고, 곱셈과 나눗셈의 관계를 이해한다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,세 자리 수 범위의 나눗셈,"[4수01-06] 나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있으며, 나눗셈에서 몫과 나머지의 의미를 안다.",[4수01-06] 나눗셈에서 ‘(두 자리 수)  (한 자리 수)’는 나누어떨어지는 경우와 나누어떨어지지 않는 경우를 포함하여 몫과 나머지를 이해하게 한다.,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,세 자리 수 범위의 나눗셈,[4수01-07] 나누는 수가 두 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"[4수01-07] 나누는 수가 두 자리 수인 나눗셈에서는 ‘(두 자리 수)  (두 자리 수)’, ‘(세 자리 수)  (두 자리 수)’를 다룬다.",,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,자연수의 어림셈,"[4수01-08] 자연수의 덧셈, 뺄셈, 곱셈, 나눗셈과 관련한 여러 가지 상황에서 어림셈을 할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수,"[4수01-09] 양의 등분할을 통하여 분수의 필요성을 인식하고, 분수를 이해하고 읽고 쓸 수 있다.","[4수01-09] 1보다 작은 양을 나타내는 경우를 통하여 분수의 필요성이나 그 표현의 편리함을 인식하게 할 수 있다. 양의 등분할을 통하여 분수를 도입할 때 부분과 전체를 파악하게 하고, ‘분모’, ‘분자’를 사용한다.",,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수,"[4수01-10] 단위분수, 진분수, 가분수, 대분수를 알고, 그 관계를 이해한다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수,"[4수01-11] 분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고 그 방법을 설명할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,소수,[4수01-12] 분모가 10인 진분수와 연결하여 소수 한 자리 수를 이해하고 읽고 쓸 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,소수,[4수01-13] 자릿값의 원리를 바탕으로 소수 두 자리 수와 소수 세 자리 수를 이해하고 읽고 쓸 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,소수,[4수01-14] 소수의 크기를 비교하고 그 방법을 설명할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수의 덧셈과 뺄셈,[4수01-15] 분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,소수의 덧셈과 뺄셈,[4수01-16] 소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,자연수의 혼합 계산,"[6수01-01] 덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산에서 계산하는 순서를 알고, 혼합 계산을 할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,"수의 범위와 올림, 버림, 반올림","[6수01-02] 실생활과 연결하여 이상, 이하, 초과, 미만의 의미와 쓰임을 알고, 이를 활용하여 수의 범위를 나타낼 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,"수의 범위와 올림, 버림, 반올림","[6수01-03] 어림값을 구하기 위한 방법으로 올림, 버림, 반올림의 의미와 필요성을 알고, 이를 실생활에 활용함으로써 수학의 유용성을 인식할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,약수와 배수,"[6수01-04] 약수, 공약수, 최대공약수를 이해하고 구할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,약수와 배수,"[6수01-05] 배수, 공배수, 최소공배수를 이해하고 구할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수의 덧셈과 뺄셈,"[6수01-06] 크기가 같은 분수를 만드는 방법을 이해하고, 분수를 약분, 통분할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수의 덧셈과 뺄셈,[6수01-07] 분모가 다른 분수의 크기를 비교하고 그 방법을 설명할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수의 덧셈과 뺄셈,[6수01-08] 분모가 다른 분수의 덧셈과 뺄셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수의 곱셈과 나눗셈,[6수01-09] 분수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수의 곱셈과 나눗셈,[6수01-10] ‘(자연수)  (자연수)’에서 나눗셈의 몫을 분수로 나타낼 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수의 곱셈과 나눗셈,[6수01-11] 분수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.,"[6수01-11] 분수의 나눗셈은 ‘(분수)  (자연수)’, ‘(자연수)  (분수)’, ‘(분수)  (분수)’를 다룬다.",,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,분수와 소수의 관계,[6수01-12] 분수와 소수의 관계를 이해하고 크기를 비교하며 그 방법을 설명할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,소수의 곱셈과 나눗셈,[6수01-13] 소수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,소수의 곱셈과 나눗셈,[6수01-14] ‘(자연수)  (자연수)’에서 나눗셈의 몫을 소수로 나타낼 수 있다.,,,
2022개정,수학,초등학교,공통 과목,수학,수와 연산,소수의 곱셈과 나눗셈,[6수01-15] 소수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.,"[6수01-15] 소수의 나눗셈은 ‘(소수)  (자연수)’, ‘(자연수)  (소수)’, ‘(소수)  (소수)’를 다룬다.",,
2022개정,수학,중학교,공통 과목,수학,수와 연산,소인수분해,"[9수01-01] 소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.",,,
2022개정,수학,중학교,공통 과목,수학,수와 연산,소인수분해,[9수01-02] 소인수분해를 이용하여 최대공약수와 최소공배수를 구할 수 있다.,"[9수01-02] 초등학교에서 학습한 최대공약수와 최소공배수의 개념을 바탕으로 소인수분해를 이용하여 최대공약수와 최소공배수를 구하게 한다. 최대공약수와 최소공배수는 자연수의 소인수분해를 이용하는 범위에서 다루고, 최대공약수와 최소공배수의 활용 문제는 다루지 않는다.",,
2022개정,수학,중학교,공통 과목,수학,수와 연산,정수와 유리수,"[9수01-03] 다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다.",,,
2022개정,수학,중학교,공통 과목,수학,수와 연산,정수와 유리수,[9수01-04] 정수와 유리수의 대소 관계를 판단할 수 있다.,,,
2022개정,수학,중학교,공통 과목,수학,수와 연산,정수와 유리수,"[9수01-05] 정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.","[9수01-05] 정수의 사칙계산의 원리는 여러 가지 모델을 이용하여 직관적으로 이해하게 하고, 실생활에서 사칙계산의 유용성을 인식하게 한다.",,
2022개정,수학,중학교,공통 과목,수학,수와 연산,유리수와 순환소수,"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",[9수01-06] 순환소수를 분수로 고치는 것은 순환소수가 유리수임을 이해할 수 있는 정도로 다룬다. 유한소수를 순환소수로 나타내는 것은 다루지 않는다.,,
2022개정,수학,중학교,공통 과목,수학,수와 연산,제곱근과 실수,"[9수01-07] 제곱근의 뜻과 성질을 알고, 제곱근의 대소 관계를 판단할 수 있다.",,,
2022개정,수학,중학교,공통 과목,수학,수와 연산,제곱근과 실수,"[9수01-08] 무리수의 개념을 이해하고, 무리수의 유용성을 인식할 수 있다.","[9수01-08] 실생활에서 사용되는 무리수의 예를 찾아보는 활동을 통해 무리수의 필요성과 유용성을 인식하게 한다. 실수는 유리수와 무리수로 이루어짐을 이해하게 하고, 수 체계의 논리적인 아름다움에 관심을 갖게 한다.",,
2022개정,수학,중학교,공통 과목,수학,수와 연산,제곱근과 실수,[9수01-09] 실수의 대소 관계를 판단하고 설명할 수 있다.,,,
2022개정,수학,중학교,공통 과목,수학,수와 연산,제곱근과 실수,"[9수01-10] 근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,규칙 찾기,"[2수02-01] 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다.","[2수02-01] 물체, 무늬, 수 등의 배열을 관찰하여 일정하게 반복되거나 증가하는 규칙을 찾고 말, 수, 그림, 기호, 구체물, 행동 등의 다양한 방법으로 표현하게 한다. 그리고 물체, 무늬, 수의 배열에서 다음에 올 것이나 중간에 빠진 것을 추측하게 한다.",,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,규칙 찾기,"[2수02-02] 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,규칙을 수나 식으로 나타내기,"[4수02-01] 다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,규칙을 수나 식으로 나타내기,"[4수02-02] 계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다.","[4수02-02] 다양한 규칙을 찾을 수 있는 계산식의 배열, 수의 성질을 탐구할 수 있는 계산식의 배열을 다룬다.",,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,등호와 동치 관계,[4수02-03] 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다.,"[4수02-03] 등호(  )의 의미를 토대로 구체물, 그림 등을 사용하여 주어진 식이 옳은지 판단하는 활동, 크기가 같은 두 양을 찾는 활동 등을 통해 동치 관계를 이해하게 한다.",,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,대응 관계,"[6수02-01] 한 양이 변할 때 다른 양이 그에 종속하여 변하는 대응 관계를 나타낸 표에서 규칙을 찾아 설명하고, □, △ 등을 사용하여 식으로 나타낼 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,비와 비율,"[6수02-02] 두 양의 크기를 비교하는 상황을 통해 비의 개념을 이해하고, 두 양의 관계를 비로 나타낼 수 있다.",[6수02-02] 두 양을 비교할 때는 한 양을 기준으로 다른 양이 몇 배가 되는지를 나타낼 필요성을 인식하면서 비의 개념을 이해하게 한다.,,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,비와 비율,"[6수02-03] 비율을 이해하고, 비율을 분수, 소수, 백분율로 나타낼 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,비례식과 비례배분,"[6수02-04] 비례식을 알고, 그 성질을 이해하며, 이를 활용하여 간단한 비례식을 풀 수 있다.",,,
2022개정,수학,초등학교,공통 과목,수학,변화와 관계,비례식과 비례배분,"[6수02-05] 비례배분을 알고, 주어진 양을 비례배분 할 수 있다.",,,
2022개정,수학,중학교,공통 과목,수학,변화와 관계,문자의 사용과 식,"[9수02-01] 다양한 상황을 문자를 사용한 식으로 나타내어 그 유용성을 인식하고, 식의 값을 구할 수 있다.",,,
2022개정,수학,중학교,공통 과목,수학,변화와 관계,문자의 사용과 식,"[9수02-02] 일차식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다.",,,
2022개정,수학,중학교,공통 과목,수학,변화와 관계,일차방정식,"[9수02-03] 방정식과 그 해의 뜻을 알고, 등식의 성질을 설명할 수 있다.",,,
2022개정,수학,중학교,공통 과목,수학,변화와 관계,일차방정식,"[9수02-04] 일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.",,,
2022개정,수학,중학교,공통 과목,수학,변화와 관계,좌표평면과 그래프,"[9수02-05] 순서쌍과 좌표를 이해하고, 그 편리함을 인식할 수 있다.","[9수02-05] 실생활에서 좌표가 사용되는 예를 찾아보고 이를 수직선과 좌표평면 위에 표현해 보며, 그 유용성과 편리함을 인식하게 한다.",,
2022개정,수학,중학교,공통 과목,수학,변화와 관계,좌표평면과 그래프,"[9수02-06] 다양한 상황을 그래프로 나타내고, 주어진 그래프를 해석할 수 있다.","[9수02-06] 다양한 상황을 그래프로 나타내어 증가와 감소, 주기적 변화 등 변화 상태를 쉽게 파악할 수 있게 한다. 주어진 그래프를 해석하여 그래프가 나타내는 상황을 설명하게 함으로써 그래프의 유용성을 인식하게 한다.",,
2022개정,수학,중학교,공통 과목,수학,변화와 관계,좌표평면과 그래프,"[9수02-07] 정비례, 반비례 관계를 이해하고, 그 관계를 표, 식, 그래프로 나타낼 수 있다.","[9수02-07] 속력과 거리, 속력과 시간과 같은 실생활의 예를 통해 정비례와 반비례 관계를 직관적으로 이해하게 하고, 정비례와 반비례 관계가 성립하는 실생활의 예를 찾아 설명하게 한다.",,
